"INSEE","NOM_COMM","area","RANG","TYPE_LIEU","year_pop","pop","system","residus","neg_pos"
"60115","BULLES",18.1376,134,"Bourg","POP1836",1098,"complet sans Paris",-0.135512139862683,"Plus dense"
"62193","CALAIS",215.0984,11,"Ville","POP1836",10865,"complet sans Paris",0.321312874062589,"Moins dense"
"59122","CAMBRAI",170.0892,13,"Ville","POP1836",17846,"complet sans Paris",0.0857209302978191,"Moins dense"
"59135","CASSEL",36.4461,76,"Ville","POP1836",4495,"complet sans Paris",-0.212001282747865,"Plus dense"
"60139","CHAMBLY",36.3743,77,"Bourg","POP1836",1307,"complet sans Paris",0.11978015010287,"Moins dense"
"60141","CHANTILLY",43.5009,59,"Bourg","POP1836",2416,"complet sans Paris",0.0320364590335447,"Moins dense"
"60143","CHAUMONT-EN-VEXIN",66.3,36,"Ville","POP1836",1113,"complet sans Paris",0.423767618842481,"Moins dense"
"02173","CHAUNY",92.9077,25,"Ville","POP1836",4483,"complet sans Paris",0.195119235761604,"Moins dense"
"60157","CLERMONT",42.9576,61,"Ville","POP1836",3235,"complet sans Paris",-0.0520323130689472,"Plus dense"
"60159","COMPIEGNE",112.3357,18,"Ville","POP1836",8895,"complet sans Paris",0.0930673122511332,"Moins dense"
"59153","CONDE-SUR-L'ESCAUT",30.2371,91,"Ville","POP1836",5297,"complet sans Paris",-0.337323205762172,"Plus dense"
"80211","CONTY",27.2118,103,"Bourg","POP1836",920,"complet sans Paris",0.0882955068014195,"Moins dense"
"80212","CORBIE",32.4028,87,"Ville","POP1836",2635,"complet sans Paris",-0.119245680759658,"Plus dense"
"02217","COUCY-LE-CHÂTEAU-AUFFRIQUE",16.9,135,"Ville","POP1836",878,"complet sans Paris",-0.105991832518166,"Plus dense"
"80222","CRECY-EN-PONTHIEU",26.446,106,"Bourg","POP1836",1631,"complet sans Paris",-0.0782916009167306,"Plus dense"
"02237","CRECY-SUR-SERRE",50.4629,47,"Bourg","POP1836",2052,"complet sans Paris",0.140485356631005,"Moins dense"
"60175","CREIL",26.2502,108,"Ville","POP1836",1690,"complet sans Paris",-0.0910883232789241,"Plus dense"
"02238","CREPY",37.7645,70,"Bourg","POP1836",1518,"complet sans Paris",0.0957672122013577,"Moins dense"
"60176","CREPY-EN-VALOIS",40.9244,63,"Ville","POP1836",2582,"complet sans Paris",-0.01237418632627,"Plus dense"
"60178","CREVECOEUR-LE-GRAND",55.0991,43,"Bourg","POP1836",2310,"complet sans Paris",0.146764709471614,"Moins dense"
"60180","CRILLON",20.8811,124,"Bourg","POP1836",486,"complet sans Paris",0.145144331485921,"Moins dense"
"62259","CROISILLES",40.9319,62,"Bourg","POP1836",1297,"complet sans Paris",0.173115715045524,"Moins dense"
"77153","DAMMARTIN-EN-GOELE",25.3657,113,"Ville","POP1836",1742,"complet sans Paris",-0.114135075405725,"Plus dense"
"62268","DESVRES",24.8648,117,"Ville","POP1836",2748,"complet sans Paris",-0.245550872211312,"Plus dense"
"80241","DOMART-EN-PONTHIEU",29.5297,97,"Bourg","POP1836",1355,"complet sans Paris",0.0195319818748511,"Moins dense"
"59178","DOUAI",302.1839,6,"Ville","POP1836",19173,"complet sans Paris",0.316000911922994,"Moins dense"
"80253","DOULLENS",29.0498,100,"Ville","POP1836",3912,"complet sans Paris",-0.273099988691177,"Plus dense"
"59183","DUNKERQUE",226.0113,8,"Ville","POP1836",23808,"complet sans Paris",0.131553018014287,"Moins dense"
"60223","ESTREES-SAINT-DENIS",46.513,55,"Bourg","POP1836",1295,"complet sans Paris",0.229043736297663,"Moins dense"
"62318","ETAPLES",22.2824,121,"Ville","POP1836",1809,"complet sans Paris",-0.180583128233828,"Plus dense"
